Number of states,Execution time
923.0,3.537412166595459
641.0,3.7337846755981445
470.0,4.581004858016968
83.0,1.4062423706054688
1223.0,9.063649892807007
100.0,1.5141243934631348
143.0,8.512346029281616
30.0,0.5562183856964111
363.0,3.1670949459075928
113.0,3.2560269832611084
342.0,22.186901092529297
517.0,6.883419036865234
645.0,2.5666093826293945
370.0,1.1789324283599854
873.0,12.498069763183594
188.0,0.5896801948547363
71.0,0.6870853900909424
29.0,0.6576271057128906
721.0,14.72268533706665
331.0,10.209740400314331
280.0,3.102461814880371
202.0,2.8257298469543457
947.0,20.65907382965088
682.0,18.28687286376953
914.0,2.4277238845825195
9.0,6.831129789352417
266.0,5.118420362472534
357.0,2.5883421897888184
693.0,4.476482391357422
657.0,3.182137966156006
296.0,3.4513399600982666
111.0,3.4463019371032715
250.0,13.635653018951416
1115.0,12.323378562927246
189.0,23.608821153640747
752.0,5.4162397384643555
765.0,5.198005676269531
136.0,2.8385732173919678
277.0,2.2781782150268555
1500.0,4.701244115829468
796.0,1.6481525897979736
424.0,18.098546028137207
418.0,7.922697067260742
184.0,2.670706033706665
765.0,3.1596226692199707
1661.0,4.033299207687378
354.0,17.286792755126953
507.0,15.365757942199707
1689.0,3.020916700363159
560.0,1.353013277053833
96.0,0.3645498752593994
963.0,1.664419174194336
212.0,1.4326233863830566
111.0,0.7495808601379395
1320.0,4.213936805725098
67.0,1.1785566806793213
887.0,1.4351942539215088
839.0,6.895570278167725
131.0,0.5812046527862549
274.0,15.902435779571533
1049.0,5.38198447227478
28.0,4.499406099319458
29.0,0.07303500175476074
707.0,4.650620698928833
27.0,0.5630006790161133
125.0,1.7455987930297852
329.0,3.0602095127105713
220.0,11.682899713516235
1054.0,9.674404859542847
561.0,4.17252779006958
332.0,0.45054197311401367
16.0,0.47624850273132324
818.0,12.84123158454895
58.0,0.32912731170654297
634.0,2.532195568084717
123.0,0.9759035110473633
6.0,0.03446221351623535
416.0,4.440395832061768
152.0,0.6819772720336914
88.0,1.1688969135284424
299.0,3.1191887855529785
178.0,3.9420909881591797
501.0,1.8299763202667236
645.0,2.6966896057128906
114.0,0.2801320552825928
65.0,8.77153491973877
57.0,1.4838595390319824
238.0,19.8918354511261
99.0,14.310077905654907
504.0,1.2767443656921387
208.0,0.5327849388122559
457.0,10.262243032455444
15.0,0.1951909065246582
41.0,0.15387558937072754
12.0,0.06757092475891113
686.0,14.231943607330322
83.0,23.528583526611328
15.0,0.38376545906066895
262.0,23.553531408309937
128.0,6.335421562194824
